key,en,he,context,notes
fontmaker.panels.back_to_vowels,← Back to vowels,,button,leading-emoji
fontmaker.panels.center,Center,,adjust button,
fontmaker.panels.center_h,Center ↔,,button,
fontmaker.panels.center_h_title,Center horizontally — halfway between the left and right margins,,button title,
fontmaker.panels.center_hint,The dagesh sits inside the letter body. Edit shape redesigns it.,,panel hint,
fontmaker.panels.center_v,Center ↕,,button,
fontmaker.panels.center_v_title,Center vertically — halfway between the top and base lines,,button title,
fontmaker.panels.check_stacking,Check stacking,,side title,
fontmaker.panels.check_stacking_hint,Shows the chosen mark in grey beside the one you're placing and warns if they collide — handy for Babylonian (all-above) and two-vowel letters. The QA Two marks tab sweeps every letter.,,panel hint,
fontmaker.panels.clear,Clear,,button,
fontmaker.panels.combined_allowed_img,"Allowed: any image file — PNG, JPG, GIF, WebP. You can add several sheets and flip between them.",,allowed-files note,
fontmaker.panels.combined_count,{i} of {n},,combined nav counter,
fontmaker.panels.combined_drag_hint,"Click and drag a box around the letter on the sheet, then release to bring it into the editor. Keyboard: arrows move the box, +/− resize, Enter to crop.",,center empty state,
fontmaker.panels.combined_drop_img,"Drop your sheet(s) here, or click to browse — add more than one for multi-page templates.",,drop zone,
fontmaker.panels.combined_drop_svg,"Drop your SVG sheet(s) here, or click to browse — name elements like id=""uni05D0"" for auto-split, or box each letter.",,drop zone,html
fontmaker.panels.combined_next,Next ›,,combined nav button,
fontmaker.panels.combined_prev,‹ Previous,,combined nav button,
fontmaker.panels.combined_remove_title,Remove this sheet from the set,,button title,
fontmaker.panels.combined_sheet_default,Sheet {n},,combined nav default name,
fontmaker.panels.confirm_placement,✓ Confirm placement,,button,leading-emoji
fontmaker.panels.confirm_placement_title,Marks this letter's placement as reviewed. Undo (Ctrl+Z) always works — confirming isn't required to keep your changes.,,button title,
fontmaker.panels.copy_outline,⎘ Copy outline…,,button,leading-emoji
fontmaker.panels.copy_outline_title,Start this letter from another letter's outline,,button title,
fontmaker.panels.corners,Corners (sharp ↔ round),,slider label,
fontmaker.panels.custom_add_glyph,Add glyph,,button,
fontmaker.panels.custom_add_new,+ Add a new glyph,,section heading,
fontmaker.panels.custom_attach_above,Above the letter,,option,
fontmaker.panels.custom_attach_below,Below the letter,,option,
fontmaker.panels.custom_attach_center,Center (dagesh-style),,option,
fontmaker.panels.custom_attaches,Attaches,,field label,
fontmaker.panels.custom_codepoint,Code point,,field label,
fontmaker.panels.custom_codepoint_ph,E000 or U+05D0,,placeholder,
fontmaker.panels.custom_convert_title,Convert to a main glyph (gives it its own adjustable width),,tile button title,
fontmaker.panels.custom_del_title,Delete glyph,,tile button title,
fontmaker.panels.custom_empty,No custom glyphs yet — add one below,,empty state,
fontmaker.panels.custom_glyphs_hint,"Define a glyph at any Unicode code point. Brand-new shapes work best in the Private-Use range U+E000–U+F8FF. Trace each glyph like a letter, or duplicate an existing letter and tweak it.",,panel hint,
fontmaker.panels.custom_mark_hint,"A mark attaches to a letter and has no width of its own. For a standalone symbol that needs its own spacing, choose Main glyph instead.",,panel hint,
fontmaker.panels.custom_name,Name,,field label,
fontmaker.panels.custom_name_ph,My glyph,,placeholder,
fontmaker.panels.custom_shape,Shape,,control label,
fontmaker.panels.custom_shape_dup,Duplicate a letter,,toggle button,
fontmaker.panels.custom_shape_trace,Trace new image,,toggle button,
fontmaker.panels.custom_type_main,Main glyph,,toggle button,
fontmaker.panels.custom_type_mark,Nikkud mark,,toggle button,
fontmaker.panels.customglyphs,Custom glyphs,,panel title,
fontmaker.panels.dagesh_follows_hint,"The dagesh's position follows the letter's own Dagesh (Center), so {glyph} always matches a dagesh you place on the plain letter — to move it, edit the letter's Dagesh (Center) on its Nikkud step. Its size you can set right here:",,panel hint,mixed UI+content — do not translate {…}
fontmaker.panels.dagesh_size,Dagesh size,,slider label,
fontmaker.panels.dagesh_size_hint,Sizes the dot for this form only — the regular vowel dot on other letters stays the same.,,panel hint,
fontmaker.panels.default_spread,Default spread,,control label,
fontmaker.panels.default_spread_hint,"Default distance Left/Right marks shift from center, on all letters (per-letter tweaks come after).",,panel hint,
fontmaker.panels.default_width_hint,Default width — drag the slider to customize.,,panel hint,
fontmaker.panels.detail,Detail (less ↔ more),,slider label,
fontmaker.panels.dot_size,Dot size,,slider label,
fontmaker.panels.drag_handle_hint,"Drag the handle (or arrow keys; Shift = 1 unit), or edit X/Y on the left, to position the {class} mark.",,anchor under hint,
fontmaker.panels.draw_pen,✏ Draw with pen,,button,leading-emoji
fontmaker.panels.draw_pen_title,This glyph is blank — draw its outline point by point,,button title,
fontmaker.panels.draw_pen_title2,No trace yet — draw the outline point by point instead,,button title,
fontmaker.panels.edit_nikkud_on,Edit nikkud on {name} →,,button,
fontmaker.panels.edit_points,✎ Edit points,,button,leading-emoji
fontmaker.panels.edit_shape,✎ Edit shape,,button,leading-emoji
fontmaker.panels.edit_shape_square,"✎ Edit shape (square, dots & bars)",,button,leading-emoji
fontmaker.panels.edit_shape_square_hint,Make the dot a square or redesign it. Applies to this form (via its base letter); choose “all letters” in the editor to change it everywhere.,,panel hint,
fontmaker.panels.edit_shape_title,"Redesign this mark's shape from dots & bars (or an image), then apply it to this letter or all letters",,button title,
fontmaker.panels.editing_label,Editing: {name},,current-glyph indicator,
fontmaker.panels.editing_label_glyph,Editing: {glyph} — {name},,current-glyph indicator,
fontmaker.panels.eng_accent_drag_hint,"Pick an accented form on the left, then drag the orange dot to position the accent. Accents are baked into precomposed letters (á, é, ñ, ç…) when you export.",,anchor under hint,
fontmaker.panels.eng_accents_hint,"Pick an accented form, then drag the accent into place on the canvas (or type X / Y). Each is baked into the exported font.",,panel hint,
fontmaker.panels.eng_case_lower,Lowercase a–z,,toggle button,
fontmaker.panels.eng_case_upper,Uppercase A–Z,,toggle button,
fontmaker.panels.eng_no_accents,This letter has no accented forms — it's ready once traced.,,accent panel,
fontmaker.panels.eng_no_accents_done,No accents for this letter — it's done once traced.,,anchor under hint,
fontmaker.panels.eng_place_accents,{name}: place accents,,side title,
fontmaker.panels.eng_progress,({done}/{total}),,progress readout,
fontmaker.panels.english,English,,panel title,
fontmaker.panels.even_lighting,Even out lighting (photo shadows),,checkbox label,
fontmaker.panels.even_lighting_aria,Even out lighting — remove photo shadows before tracing,,checkbox aria-label,aria-label only
fontmaker.panels.family_name,Family name,,field label,
fontmaker.panels.family_name_default,My Hebrew Hand,,field default value,
fontmaker.panels.font_allowed,Allowed: TTF or OTF font files.,,allowed-files note,
fontmaker.panels.font_details,Font Details,,panel title,
fontmaker.panels.font_drop,"Drop a font (TTF/OTF) here, or click to browse.",,drop zone,
fontmaker.panels.form_enable_tab,Enable this tab to add its forms.,,empty state,
fontmaker.panels.form_need_trace,Trace these base letters to fill in this tab:,,composed-form summary,
fontmaker.panels.form_needs,needs {chars},,tile badge,
fontmaker.panels.form_needs_title,Trace {names},,tile badge title,
fontmaker.panels.form_overrides,custom glyph overrides,,tile badge,
fontmaker.panels.form_overrides_title,"You added a custom glyph at U+{cp}; the exported font uses your custom outline, not this composed form.",,tile badge title,
fontmaker.panels.form_ready,✓ All base letters traced — ready.,,composed-form summary,leading-emoji
fontmaker.panels.guide_collapse_title,Collapse / drag to reorder,,guide handle title,
fontmaker.panels.guide_color_title,Guide color,,input title,
fontmaker.panels.guide_default_h,Horizontal,,guide default name,
fontmaker.panels.guide_default_v,Vertical,,guide default name,
fontmaker.panels.guide_delete_title,Delete this guide,,button title,
fontmaker.panels.guide_h_title,Horizontal guide,,guide orient title,
fontmaker.panels.guide_name_title,Guide name,,input title,
fontmaker.panels.guide_pos,Pos ({axis}),,label,
fontmaker.panels.guide_pos_title,{axis} position (font units),,input title,
fontmaker.panels.guide_rename,Rename,,button,
fontmaker.panels.guide_rename_title,Rename,,button title,
fontmaker.panels.guide_size,Size,,label,
fontmaker.panels.guide_style_title,Line style,,button title,
fontmaker.panels.guide_v_title,Vertical guide,,guide orient title,
fontmaker.panels.guide_weight_title,Line weight (px),,input title,
fontmaker.panels.guides,Guides,,side title,
fontmaker.panels.guides_add_h,+ Horizontal,,button,
fontmaker.panels.guides_add_v,+ Vertical,,button,
fontmaker.panels.guides_clear,Clear,,button,
fontmaker.panels.guides_empty,"Add a guide, then drag it on the canvas or type an exact position (font units). Guides stay put across every letter — handy for matching stroke thicknesses & heights.",,empty state,
fontmaker.panels.guides_show,Show guides,,checkbox label,
fontmaker.panels.halign_center,Center,,halign button,
fontmaker.panels.halign_hint,Sets where {name} sits across every letter. Position tweaks belong to the column (Left / Center / Right) — and stay with it if you switch sides.,,panel hint,
fontmaker.panels.halign_left,◀ Left,,halign button,
fontmaker.panels.halign_right,Right ▶,,halign button,
fontmaker.panels.height,Height,,control label,
fontmaker.panels.height_trop_hint,Raises or lowers just {name} on every letter — e.g. to separate two marks sharing a side.,,panel hint,
fontmaker.panels.height_vowel_hint,Height raises or lowers just {name} — on every letter. Edit shape redesigns its dots & bars.,,panel hint,
fontmaker.panels.holam_size,Holam size,,slider label,
fontmaker.panels.holam_vav_hint,Sizes the dot on every וֹ — the same Holam (vav) size control as the vav's Nikkud step. (The standalone holam on other letters is sized by Nikkud size.),,panel hint,mixed UI+content — do not translate {…}
fontmaker.panels.holam_vav_size,Holam (vav) size,,slider label,
fontmaker.panels.horizontal,Horizontal,,control label,
fontmaker.panels.ink_threshold,Ink threshold,,slider label,
fontmaker.panels.input_combined,One image with all letters,,input mode button,
fontmaker.panels.input_font,Existing font file,,input mode button,
fontmaker.panels.input_single,One letter per image,,input mode button,
fontmaker.panels.invert,Invert (light ink on dark),,checkbox label,
fontmaker.panels.kern_add,Add pair,,button,
fontmaker.panels.kern_autotightness,Auto-tightness,,slider label,
fontmaker.panels.kern_autotightness_hint,"Negative = tighter, positive = looser (font units). “Suggest pairs” seeds an even starting gap toward Auto-tightness (lower = tighter), measured optically so overhanging letters tuck in; Preview PDF shows it shaped in full.",,panel hint,
fontmaker.panels.kern_builtin,built-in,,class list tag,
fontmaker.panels.kern_class_delete_title,Delete class,,button title,
fontmaker.panels.kern_class_edit,Edit,,button,
fontmaker.panels.kern_classes,Kern classes,,control label,
fontmaker.panels.kern_classes_hint,Reusable letter groups — pick one on either side of a pair. Editing a class updates every pair that uses it.,,panel hint,
fontmaker.panels.kern_click_edit,Click to edit,,row title,
fontmaker.panels.kern_custom_glyphs,Custom glyphs,,kern class optgroup,
fontmaker.panels.kern_delete_title,Delete,,row button title,
fontmaker.panels.kern_descenders,Descenders,,kern class option,
fontmaker.panels.kern_export_skip,Pairs marked “⚠ untraced” or “set a gap” are skipped.,,panel note,
fontmaker.panels.kern_export_summary,{ready} of {total} pairs will be exported.,,panel note,
fontmaker.panels.kern_finals,Finals (ך ם ן ף ץ),,kern class option,mixed UI+content — do not translate {…}
fontmaker.panels.kern_first,First (right),,kern side label,
fontmaker.panels.kern_gap,Gap,,slider label,
fontmaker.panels.kern_new_class,+ New class,,button,
fontmaker.panels.kern_no_pairs,No pairs yet — pick two glyphs (or a class on either side) and Add.,,empty state,
fontmaker.panels.kern_preview_note,Preview shows one member of each class.,,panel hint,
fontmaker.panels.kern_reading_hint,Type the pair in reading order — in Hebrew the first letter sits on the right.,,panel hint,
fontmaker.panels.kern_second,Second (left),,kern side label,
fontmaker.panels.kern_setgap_badge,set a gap,,pair badge,
fontmaker.panels.kern_setgap_title,Pairs at 0 do nothing — drag the gap to apply.,,badge title,
fontmaker.panels.kern_single_glyph,Single glyph,,kern class option,
fontmaker.panels.kern_suggest,Suggest pairs,,button,
fontmaker.panels.kern_untraced_badge,⚠ untraced,,pair badge,leading-emoji
fontmaker.panels.kern_untraced_title,A glyph in this pair has no traced outline — it will be skipped on export.,,badge title,
fontmaker.panels.kern_update,Update pair,,button,
fontmaker.panels.kerning,Kerning,,control label,
fontmaker.panels.ladino,Ladino,,panel title,
fontmaker.panels.ladino_intro,"Ladino (Judeo-Spanish) forms: each base letter with the rafe / varika bar, composed from your traced letters.",,panel intro,
fontmaker.panels.legend_anchored,anchored,,legend label,
fontmaker.panels.legend_image,image,,legend label,
fontmaker.panels.legend_traced,traced,,legend label,
fontmaker.panels.letter_allowed_svg,Allowed: SVG only — vectors import directly (no tracing).,,allowed-files note,
fontmaker.panels.letter_drop,"Drop {kind} for {name}, or browse.",,drop zone,
fontmaker.panels.letter_progress,({done}/27),,progress readout,
fontmaker.panels.letter_spacing,Letter spacing,,slider label,
fontmaker.panels.letters,Letters,,panel title,
fontmaker.panels.license,License,,field label,
fontmaker.panels.license_arr,All Rights Reserved — most strict,,license option,
fontmaker.panels.license_cc0,Public Domain (CC0) — most open,,license option,
fontmaker.panels.license_help_title,About these licenses,,help icon title,
fontmaker.panels.license_hint,Pick how others may use your font. Every export's LICENSE.txt lists your name as author and includes a required Made with IvritSuite.com line. The version ticks up each export — edit it anytime.,,panel hint,html
fontmaker.panels.license_mit,MIT License,,license option,
fontmaker.panels.license_ofl,SIL Open Font License 1.1 (recommended),,license option,
fontmaker.panels.line_spacing,Line spacing,,slider label,
fontmaker.panels.line_weight,Line weight,,slider label,
fontmaker.panels.load_from_computer,📂 Load from computer…,,load menu item,leading-emoji
fontmaker.panels.load_no_recent,No recent projects yet — save one first.,,load menu empty,
fontmaker.panels.load_recent,Recent,,load menu heading,
fontmaker.panels.lower_mark_title,Lower this mark on every letter,,button title,
fontmaker.panels.lower_vowel_title,Lower this vowel on every letter,,button title,
fontmaker.panels.mark_allowed_img,"Allowed: any image file — PNG, JPG, GIF, WebP.",,allowed-files note,
fontmaker.panels.mark_allowed_svg,Allowed: SVG only.,,allowed-files note,
fontmaker.panels.mark_click_box,"Click a mark, then drag a box around it on the sheet. Undesigned marks use the default shape.",,panel hint,
fontmaker.panels.mark_click_design,Click a mark to design it (draw or upload). Undesigned marks use the default shape.,,panel hint,
fontmaker.panels.mark_combined,Combined,,toggle button,
fontmaker.panels.mark_coming_soon,Custom {label} marks & the built-in set are coming in the next update.,,panel hint,
fontmaker.panels.mark_compatible,Make my font {label}-compatible,,checkbox label,
fontmaker.panels.mark_drop_combined,"Drop a {svg}sheet of {label} symbols, or click to browse.",,drop zone,
fontmaker.panels.mark_mode_custom,Custom,,toggle button,
fontmaker.panels.mark_mode_default,Default,,toggle button,
fontmaker.panels.mark_per_symbol,Per Symbol,,toggle button,
fontmaker.panels.mark_pick_then_box,Then pick a symbol below and drag a box around it on the canvas.,,panel hint,
fontmaker.panels.mark_shapes,Mark shapes,,control group hint,
fontmaker.panels.mark_sheet_loaded,"Sheet loaded ✓ — pick a symbol below, then drag a box around it on the canvas.",,panel hint,leading-emoji
fontmaker.panels.mark_shevana,Add a bold Sheva Na (so na & nach stand apart),,checkbox label,
fontmaker.panels.mark_shevana_hint,"Exports a heavier sheva alongside the normal one. To make a sheva bold in Word, select the letter and turn on Stylistic Set 1; or insert the character U+E0B0 in its place. Readers can then see which sheva is mobile (na) vs. silent (nach).",,panel hint,
fontmaker.panels.mark_trop_hint,"Trop attaches to the typed letter (and stacks above/below a vowel). In Place Trop each mark can sit Left, Center, or Right of the letter — sensible defaults are set (Segol, Zarqa, Pashta & Telisha Qetana go left; Geresh Muqdam, Deḥi, Yetiv & Telisha Gedola go right) and you can change any of them. Left / Right marks land at the leading / trailing edge of their own letter — exact at a word's edge, approximate mid-word (true word-position placement isn't done).",,panel hint,
fontmaker.panels.mark_upload_mode,Upload mode,,control group hint,
fontmaker.panels.markctl_add_bar,+ Bar,,button,
fontmaker.panels.markctl_add_dot,+ Dot,,button,
fontmaker.panels.markctl_bar_rounded,▢ Rounded,,toggle button,
fontmaker.panels.markctl_bar_square,▭ Square,,toggle button,
fontmaker.panels.markctl_box_hint,"Drag a box around {name} on the sheet above to bring it into the editor. Keyboard: arrows move the box, +/− resize, Enter to crop.",,panel hint,
fontmaker.panels.markctl_circle,● Circle,,toggle button,
fontmaker.panels.markctl_combined_hint,"Combined mode: upload a sheet of {label} symbols in the sidebar first, then drag a box around {name}.",,panel hint,
fontmaker.panels.markctl_delete_sel,Delete selected,,button,
fontmaker.panels.markctl_dot_size,Dot size,,slider label,
fontmaker.panels.markctl_drop,"Drop {kind} of {name}, or browse.",,drop zone,
fontmaker.panels.markctl_hint,"Click a piece to select; drag to move, drag the ◻ corner to resize. A bar's corner can be dragged for any width/thickness. Build the mark from dots & bars — it's seeded from the default shape.",,panel hint,
fontmaker.panels.markctl_label,{label}: {name},,mark editor control label,
fontmaker.panels.markctl_letters,← Letters,,button,leading-emoji
fontmaker.panels.markctl_region_hint,"Region selected for {name}. Fine-tune below, then trace.",,panel hint,
fontmaker.panels.markctl_square,■ Square,,toggle button,
fontmaker.panels.markctl_svg_imported,Imported from SVG ✓ — re-drop to replace.,,panel hint,leading-emoji
fontmaker.panels.metric_adjust,Adjust margins manually?,,checkbox label,
fontmaker.panels.metric_baseline,Baseline,,metric field label,
fontmaker.panels.metric_baseline_drag,Baseline — drag to set,,drag handle title,
fontmaker.panels.metric_descender,Descender,,metric field label,
fontmaker.panels.metric_descender_drag,Descender — drag to set,,drag handle title,
fontmaker.panels.metric_hint,"Check Adjust margins manually? to show draggable dots: drag the left dot to slide the whole letter, the right dot to set the right margin, and width to set the advance. (The reference image stays draggable either way.)",,panel hint,
fontmaker.panels.metric_lamed_asc,Lamed asc.,,metric field label,
fontmaker.panels.metric_lamed_drag,Lamed ascender — drag to set,,drag handle title,
fontmaker.panels.metric_left_margin,Left margin,,metric field label,
fontmaker.panels.metric_lsb_drag,Left margin — drag to slide the whole letter,,drag handle title,
fontmaker.panels.metric_reset,Reset to defaults,,button,
fontmaker.panels.metric_right_margin,Right margin,,metric field label,
fontmaker.panels.metric_rsb_drag,Right margin — drag,,drag handle title,
fontmaker.panels.metric_this_letter,{name} (this letter),,metric sub-heading,
fontmaker.panels.metric_top,Top (cap),,metric field label,
fontmaker.panels.metric_top_drag,Top (cap height) — drag to set,,drag handle title,
fontmaker.panels.metric_whole_font,Whole font,,metric sub-heading,
fontmaker.panels.metric_width,Width,,metric field label,
fontmaker.panels.metric_width_drag,Letter width (advance) — drag,,drag handle title,
fontmaker.panels.metrics_title,Letter Metrics,,workspace side title,
fontmaker.panels.moves_xy_hint,Moves {what} on {name} only.,,panel hint,
fontmaker.panels.narrower,Narrower,,adjust button,
fontmaker.panels.next,Next ▶,,nav button,
fontmaker.panels.next_char,Next ({char}) ▶,,nav button,
fontmaker.panels.next_nikkud,Next: Nikkud →,,next button,
fontmaker.panels.next_title,Next letter ( ] ) — stays on this step,,nav button title,
fontmaker.panels.next_trace,Next: Trace →,,next button,
fontmaker.panels.nexthint_next,Next up: {name} — {count} to go.,,next-step hint,
fontmaker.panels.nexthint_nikkud,Letters done! Place nikkud on {name} — {count} to go.,,next-step hint,
fontmaker.panels.nexthint_qa,"All 27 letters ready — run QA Check, then Export.",,next-step hint,
fontmaker.panels.nexthint_start,Start by uploading and tracing your first letter.,,next-step hint,
fontmaker.panels.nikkud,Nikkud (vowels),,panel title,
fontmaker.panels.nikkud_side,Nikkud,,side title,
fontmaker.panels.nikkud_size,Nikkud size,,slider label,
fontmaker.panels.outline_only,Outline only? (hollow “bubble” letter),,checkbox label,
fontmaker.panels.outline_title,Outline — {name},,side title,
fontmaker.panels.overlap_ok,✓ No overlap with {name}.,,panel note,leading-emoji
fontmaker.panels.overlap_warn,⚠ {a} overlaps {b} on this letter.,,panel warning,leading-emoji
fontmaker.panels.pick_then_box,"Pick a letter, then drag a box around it on the sheet to bring it into the editor. Keyboard: arrows move the box, +/− resize, Enter to crop.",,panel hint,
fontmaker.panels.pill_carried,↩ Carried over — review,,placement pill,leading-emoji
fontmaker.panels.pill_carried_title,"These positions were carried from the previous letter. Review them, then Confirm.",,pill title,
fontmaker.panels.pill_unconfirmed,! Unconfirmed,,placement pill,
fontmaker.panels.pill_unconfirmed_title,"This letter's placement hasn't been confirmed yet. Adjust if needed, then Confirm — undo always works.",,pill title,
fontmaker.panels.place_precomp_title,Place {glyph} — {name},,side title,mixed UI+content — do not translate {…}
fontmaker.panels.place_the,{name}: place the…,,side title,
fontmaker.panels.placement_confirmed,✓ Placement confirmed,,button,leading-emoji
fontmaker.panels.pos_title,{class} position — {name} only,,side title,
fontmaker.panels.precomp_dot_hint,Sizes the dot for this form only — the regular vowel dot on other letters stays the same.,,panel hint,
fontmaker.panels.precomp_drag_hint,"Placing a precomposed form — drag the orange dot on the canvas, or type X / Y on the left. Your change is saved automatically.",,anchor under hint,
fontmaker.panels.precomp_where_hint,"Where the mark sits in the combined glyph. Drag the orange dot on the canvas, or type X / Y. Affects this precomposed form only — saved automatically.",,panel hint,
fontmaker.panels.precompform_title,Place the {name} for {glyph},,form button title,mixed UI+content — do not translate {…}
fontmaker.panels.prev,◀ Prev,,nav button,
fontmaker.panels.prev_char,◀ Prev ({char}),,nav button,
fontmaker.panels.prev_title,Previous letter ( [ ) — stays on this step,,nav button title,
fontmaker.panels.preview_2nd_mark,Preview a 2nd mark on this letter,,field label,
fontmaker.panels.preview_above_mark,Preview above-mark,,side title,
fontmaker.panels.preview_center_mark,Preview center mark,,side title,
fontmaker.panels.preview_none,(none),,option,
fontmaker.panels.preview_trop,Preview trop,,side title,
fontmaker.panels.preview_under_vowel,Preview under-vowel,,side title,
fontmaker.panels.preview_vowel,Preview vowel,,control label,
fontmaker.panels.punct,Punctuation & More,,panel title,
fontmaker.panels.punct_include,Include digits & punctuation in my font,,checkbox label,
fontmaker.panels.punct_off_hint,Currently off: these glyphs are skipped on export and have no practice page. Turn it on to include them.,,panel hint,
fontmaker.panels.punct_on_hint,Included in the exported font & the Punctuation practice template. Trace each one like a letter — digits start blank; punctuation comes pre-shaped.,,panel hint,
fontmaker.panels.raise_mark_title,Raise this mark on every letter,,button title,
fontmaker.panels.raise_vowel_title,Raise this vowel on every letter,,button title,
fontmaker.panels.reference_font,Reference font (tracing guide),,field label,
fontmaker.panels.reference_show,Show reference glyph behind,,checkbox label,
fontmaker.panels.reference_title,Reference,,side title,
fontmaker.panels.reference_upload,⬆ Upload your own reference font,,button,leading-emoji
fontmaker.panels.reference_upload_allowed,Allowed: TTF or OTF font files.,,allowed-files note,
fontmaker.panels.region_selected,Region selected for {name}.,,panel hint,
fontmaker.panels.reselect_area,↺ Re-select area,,button,leading-emoji
fontmaker.panels.reserved_name,Reserved name,,field label,
fontmaker.panels.reset_all,Reset all,,button,
fontmaker.panels.reset_auto_size,Reset to auto size,,button,
fontmaker.panels.reset_letter,Reset letter,,button,
fontmaker.panels.reset_mark_height_title,Reset this mark's height,,button title,
fontmaker.panels.reset_side_positions,Reset all side positions,,button,
fontmaker.panels.reset_side_positions_title,Re-seed every letter's Left/Right columns from its center ± spread (undoable),,button title,
fontmaker.panels.reset_spacing,Reset spacing,,button,
fontmaker.panels.reset_to_auto,Reset to auto,,button,
fontmaker.panels.reset_vowel_height_title,Reset this vowel's height,,button title,
fontmaker.panels.reset_width,Reset width,,button,
fontmaker.panels.retrace,Re-trace,,button,
fontmaker.panels.rotate_ccw,⟲ Rotate,,adjust button,leading-emoji
fontmaker.panels.rotate_cw,⟳ Rotate,,adjust button,leading-emoji
fontmaker.panels.sample_text,Sample text,,field label,
fontmaker.panels.scale_minus,Scale −,,adjust button,
fontmaker.panels.scale_plus,Scale +,,adjust button,
fontmaker.panels.shorter,Shorter,,adjust button,
fontmaker.panels.side_positions_kept,{count} letter's hand-tuned side positions kept — the slider only moves columns still at the default.,,panel note,
fontmaker.panels.size_hint,"Nikkud size scales the vowels and the shin/sin dot (unless a שׁ/שׂ form has its own Dot size, which wins). Holam size controls just the standalone holam dot above the letter, so you can make it thinner than the below vowels. Dagesh size controls just the dagesh dot.",,panel hint,mixed UI+content — do not translate {…}
fontmaker.panels.size_hint_vav,"Holam (vav) size controls just the dot on the vav (וֹ), so you can grow it as part of the letter.",,panel hint,mixed UI+content — do not translate {…}
fontmaker.panels.skew_left,Skew ⟍,,adjust button,
fontmaker.panels.skew_right,Skew ⟋,,adjust button,
fontmaker.panels.slider_img_opacity,Imported image opacity,,slider label,
fontmaker.panels.slider_letter_opacity,Letter opacity,,slider label,
fontmaker.panels.slider_ref_opacity,Reference letter opacity,,slider label,
fontmaker.panels.spacing,Spacing,,panel title,
fontmaker.panels.spacing_hint,Adjusts the exported font's spacing (letter & word advance widths + line gap). The preview uses your traced letters — untraced letters show as dashed boxes.,,panel hint,
fontmaker.panels.spacing_title,Spacing,,control label,
fontmaker.panels.special_intro,"Wide letterforms — auto-composed from your traced letters. Pick one, then use the Width slider (it both adds side space and stretches). Insert them by their Unicode code point.",,panel intro,
fontmaker.panels.special_precomposed,Special & precomposed forms,,side title,
fontmaker.panels.special_precomposed_hint,Set where the dot sits in the combined glyph (e.g. שׁ / שׂ).,,panel hint,mixed UI+content — do not translate {…}
fontmaker.panels.specialforms,Specialized letters,,panel title,
fontmaker.panels.svg_outline_hint,"Imported from SVG — no tracing needed. Fine-tune the shape with Edit points, or re-upload under Add Letters to replace it.",,panel hint,
fontmaker.panels.taller,Taller,,adjust button,
fontmaker.panels.trace_hint,"Lower threshold captures lighter ink; higher detail hugs the ink more closely (more nodes). Corners sets how sharp a turn must be to stay a crisp corner — slide right to round more of them into smooth curves. Counters (ס, ם, ע) punch out automatically. Turn on Outline only for hollow “bubble” letters — line weight sets the ring thickness.",,panel hint,mixed UI+content — do not translate {…}
fontmaker.panels.trace_info,{count} contour(s) · adv {adv},,trace readout,
fontmaker.panels.trace_title,Trace — {name},,side title,
fontmaker.panels.trace_under_font,"This letter came from a font file, so it's already vectorized — no tracing needed. Go to Nikkud.",,trace under hint,
fontmaker.panels.trace_under_svg,"Imported from SVG — already vectorized. Fine-tune points if you like, then go to Nikkud.",,trace under hint,
fontmaker.panels.traced_readout,{traced} / {total} letters traced,,readout,
fontmaker.panels.traced_readout_title,Core Hebrew letters with an outline traced,,legend readout title,
fontmaker.panels.trop,Trop (cantillation),,panel title,
fontmaker.panels.trop_every_letter,{name} — every letter,,side title,
fontmaker.panels.trop_size,Trop size,,slider label,
fontmaker.panels.version,Version,,field label,
fontmaker.panels.version_title,Edit it freely — also ticks up on each export.,,field title,
fontmaker.panels.vowel_every_letter,{name} — every letter,,side title,
fontmaker.panels.waterfall_summary,Waterfall — sample at several sizes,,disclosure summary,
fontmaker.panels.wide_auto_hint,Auto-composed from your traced {bases}. The Width slider both adds side space and stretches the outline — saved automatically.,,panel hint,
fontmaker.panels.wide_need_trace,Trace {names} first — this form is auto-composed from {bases}.,,wide-form panel,
fontmaker.panels.wide_nikkud_hint,"Vowels on this wide form follow {name}'s placement, stretched to fit — so they stay consistent with the plain letter. Preview one below; to move it, edit the nikkud on {name}.",,panel hint,
fontmaker.panels.wide_vowels_follow,"This wide form's vowels follow its base letter — size it with the Width slider on the left, and edit the vowel positions on the base letter.",,anchor under hint,
fontmaker.panels.wider,Wider,,adjust button,
fontmaker.panels.width,Width,,slider label,
fontmaker.panels.word_spacing,Word spacing,,slider label,
fontmaker.panels.word_spacing_hint,Word spacing is also the width of the Space (U+0020) glyph.,,panel hint,
fontmaker.panels.xy_what_above,the above mark,,xy hint fragment,
fontmaker.panels.xy_what_below,all under-vowels,,xy hint fragment,
fontmaker.panels.xy_what_center,the dagesh,,xy hint fragment,
fontmaker.panels.xy_what_trop,this mark's column,,xy hint fragment,
fontmaker.panels.yiddish,Yiddish,,panel title,
fontmaker.panels.yiddish_intro,"Yiddish forms, composed from your traced letters: pasekh / komets alef, the rafe letters (בֿ כֿ פֿ), and the vov/yud digraphs (װ ױ ײ).",,panel intro,mixed UI+content — do not translate {…}
fontmaker.qa.buildcheck_needs,⚠ needs {chars},,QA build-check status,leading-emoji
fontmaker.qa.buildcheck_ready,✓ ready,,QA build-check status,leading-emoji
