Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
כִּיֵּס,kiyés,verb,to pickpocket,,
כִּיּוֹר,kiyór,noun,basin,,
כִּיּוֹר,kiyór,noun,sink,,
כִּיּוֹר,kiyór,noun,the handwashing basin in the Temple in Jerusalem,Biblical,
כִּיּוּן,kiyyún,proper noun,"Kiyyun/Kajamanu, a Mesopotamian diety worshipped by some Israelites whose worship was recorded in the Book of Amos",,
כִּיּוּן,kiyyún,proper noun,Saturn,,rare; archaic
כִּידוֹן,kidón,noun,handlebar,Biblical,
כִּידוֹן,kidón,noun,javelin (a metal-tipped spear thrown for distance in an athletic field event).,Biblical,
כִּידוֹן,kidón,noun,spear (a light spear thrown with the hand and used as a weapon).,Biblical,
כִּידוֹן,kidón,noun,straight sword,Biblical,
כִּידוֹן רוֹבֶה,kidon rové,noun,bayonet,,
כִּיחַ,kíakh,noun,"spittle, phlegm",,Mishnaic
כִּיס,kís,noun,pocket,Biblical,Mishnaic; Medieval
כִּיס,kís,noun,"pouch, bag, purse",Biblical,Mishnaic; Medieval
כִּיס הַ מָּרָה,kis hamará,noun,gall bladder (pear-shaped organ that stores bile),,
כִּיס הָאֲשָׁכִים,kis-ha'ashakhím,noun,scrotum,,
כִּיף,kif,noun,a high five,,
כִּירַיִם,kiráyim,noun,"stove, hearth, range",,
כִּכֵב,kikhév,verb,to star (appear as a featured performer),,
כִּכָּר,kikár,noun,a loaf of bread,Biblical,
כִּכָּר,kikár,noun,a wide valley,Biblical,
כִּכָּר,kikár,noun,"roundabout, traffic circle, rotary",Biblical,
כִּכָּר,kikár,noun,"square, plaza",Biblical,
כִּכָּר,kikár,noun,"talent (a unit of weight and money used in ancient times in Greece, the Roman Empire, and the Middle East, equal to about 30 to 60 kg in various times and places)",Biblical,
כִּלְאַיִם,kil'áyim,noun,hybrid,Biblical,
כִּלְיָה,kilyá,noun,kidney,Biblical,
כִּלְיָה,kilyá,noun,"seat of emotion, conscience",Biblical,
כִּלָּה,kilá,noun,mosquito net hung over a bed,,
כִּלָּה,kilá,verb,"to eliminate, annihilate, destroy completely",,
כִּלָּה,kilá,verb,"to finish, end, complete",,
כִּמְעַט,kim'át,adverb,almost,,
כִּנֵּס,kinés,verb,"to assemble (a group of people), to call a meeting",,
כִּנֵּס,kinés,verb,"to bring together, to fold",,
כִּנֵּס,kinés,verb,to combine terms,,
כִּנֵּס,kinés,verb,to compile: to make by gathering from various sources,,
כִּנֶּרֶת,kinéret,proper noun,Also a bronze age city on its shores.,,
כִּנֶּרֶת,kinéret,proper noun,"Kinneret, Sea of Galilee (a lake in northern Israel, located next to the ancient city of Tiberias).",,
כִּנָּה,kiná,noun,louse,,
כִּנָּה,kiná,verb,named,,
כִּנּוֹר,kinór,noun,harp,Biblical,
כִּנּוֹר,kinór,noun,lyre,Biblical,
כִּנּוֹר,kinór,noun,violin,Both,
כִּנּוּי,kinúy,noun,"alias, nickname",,
כִּנּוּי,kinúy,noun,pronoun,,
כִּנּוּי גּוּף,kinúy guf,noun,personal pronoun,,
כִּנּוּי חִבָּה,kinúi khibá,noun,nickname,,
כִּסְלֵו,kislév,proper noun,"Kislev (the third month of the civil year and the ninth month of the ecclesiastical year in the Jewish calendar, after Cheshvan and before Tevet)",Biblical,Judaism
כִּסֵּא,kisé,noun,chair,,
כִּסֵּא גַּלְגַּלִּים,kisé galgalím,noun,wheelchair,,
כִּסֵּא מַלְכוּת,kisé malkhút,noun,throne,Biblical,
כִּסֵּא נַדְנֵדָה,kisé nadnedá,noun,rocking chair,,
כִּסָּה,kisá,verb,"to cover, to hide",,
כִּסּוּי,kisui,noun,concealment,,
כִּסּוּי,kisui,noun,cover,,
כִּסּוּי,kisui,noun,covering,,
כִּסּוּי,kisui,noun,repayment (of debts),,
כִּסּוּפִים,kisufim,noun,"yearning, longing",,
כִּסּוּפִים,kisufim,proper noun,Kisufim (a kibbutz in northwestern Israel),,
כִּפְתֵּר,kiftér,verb,to button,,
כִּפֵּר,kipér,verb,"to appease one who has been injured, e.g. by paying a fee",,
כִּפֵּר,kipér,verb,to cover,,
כִּפֵּר,kipér,verb,to expiate an offense,,
כִּפֵּר,kipér,verb,"to make expiation for an offender, to free from charge",,
כִּפֵּר,kipér,verb,to obtain forgiveness,,
כִּפֵּר,kipér,verb,"to pardon sin, forgive",,
כִּפַּת בַּרְזֶל,kipát barzél,proper noun,"Iron Dome, Israeli defense system against short-range rockets",,
כִּפָּה,kipá,noun,dome,,
כִּפָּה,kipá,noun,"kippah, yarmulke",,Judaism
כִּפּוּר,kipúr,noun,"Repentance, atonement.",,
כִּרְכָּרָה,kirkará,noun,carriage,,
כִּשָּׁלוֹן,kishalón,noun,failure,,
כִּשָּׁרוֹן,kisharón,noun,"aptitude, natural talent",,
כִּשּׁוּף,kishúf,noun,An act of magic,,
כִּשּׁוּרִים,kishurím,noun,"competencies, qualifications",,
כִּתֵּר,kitér,verb,"to encircle (by a military, police, etc.)",,
כִּתֵּת,kitét,verb,"to crush, beat",Biblical,
כִּתַּת יוֹרִים,kitát-yorím,noun,firing squad,,
כִּתָּה,kitá,noun,"A class, a classroom.",,
כִּתָּה,kitá,noun,"A class, a course.",,
כִּתָּה,kitá,noun,"A class, a grade.",,
כִּתָּה,kitá,noun,A squad.,,
כִּתּוּב,kitúv,noun,"lettering, caption",,
כִי,khi,noun,chi (the twenty-second letter of the Classical and Modern Greek alphabets),,
כִימְיָה,khímya,noun,chemistry,,
כִירוּרְגְּיָה,khirurgya,noun,surgery,,
כִירוּרְגִּי,khirurgi,adjective,surgical,,
כֵּהֶה,kehé,adjective,dark (deep in hue),,
כֵּיף,kef,noun,fun,,
כֵּיצַד,ketsád,adverb,how,,
כֵּיצַד,ketsád,adverb,"how, the way how, the manner in which",,
כֵּן,ken,adjective,upright / honest,Biblical,
כֵּן,kén,adverb,"thus, so",Biblical,archaic
כֵּן,kén,adverb,yes,,
כֵּן,ken,adverb,yes / so / thus,Both,
כֵּנוּת,kenút,noun,sincerity,,
כֵּס,kes,noun,throne,Biblical,Exod 17:16
כֵּף הַ תִּקְוָה הַ טּוֹבָה,kef hatikvá hatová,proper noun,Cape of Good Hope,,
כֵּרְוָן,kerván,noun,stone curlew,,
כֵּרָה,kerá,noun,"a feast, a banquet",,
כֶּבֶל,kével,noun,cable (wiring),,
כֶּבֶל,kével,noun,chain (binding),,
כֶּבֶשׁ,kévesh,noun,ramp (inclined surface),,archaic
כֶּבֶשׂ,kéves,noun,sheep (an ovine animal),Biblical,
כֶּלֶא,kéle,noun,"prison, jail",,
כֶּלֶב,kelev,noun,dog,Both,
כֶּלֶב,kɛ́lɛḇ,noun,"dog (the species Canis familiaris (sometimes designated Canis lupus familiaris), domesticated for thousands of years and of highly variable appearance because of human breeding)",Biblical,
כֶּלֶב,kɛ́lɛḇ,noun,"scoundrel, bitch",,
כֶּלֶב זְאֵב,kélev z'év,noun,German shepherd,,
כֶּלֶב יָם,kélev-yam,noun,"seal (a pinniped (Pinnipedia), particularly an earless seal (true seal) or eared seal)",,
כֶּלֶב יָם,kélev-yam,noun,shark,,archaic
כֶּלֶב כְּנַעֲנִי,kelev k'na'ani,noun,Canaan Dog,,
כֶּלֶב נָהָר,kélev nahar,noun,otter,,
כֶּלֶךְ,kélekh,noun,"Ferula, A taxonomic genus within the family Apiaceae.",,
כֶּנֶס,kénes,noun,a conference,,
כֶּנֶס,kénes,noun,a congress,,
כֶּנֶס,kénes,noun,a convention,,
כֶּנֶס,kénes,noun,a session,,
כֶּסֶף,késef,noun,money,,
כֶּסֶף,késef,noun,"silver (a lustrous, white, metallic element, atomic number 47, atomic weight 107.87, symbol Ag)",,
כֶּפֶל,kéfel,noun,multiplication,,
כֶּרֶךְ,kérekh,noun,volume (one book in a series of books),,
כֶּרֶם,kerem,noun,vineyard,Both,
כֶּשֶׁל,késhel,noun,failure,,
כֶּתֶם,kétem,noun,gold,Biblical,
כֶּתֶם,kétem,noun,spot,Biblical,
כֶּתֶם,kétem,noun,stain,Biblical,
כֶּתֶם,ketem,noun,stain / pure gold,Biblical,
כֶּתֶף,katef,noun,shoulder,Both,
כֶּתֶר,kéter,noun,a crown (royal headdress),,
כֶּתֶר,kéter,noun,"a krone, krona (currency of Denmark, Iceland, Norway, or Sweden)",,
כֶּתֶר,keter,noun,crown,Both,
כַּ,ka,preposition,like the,Both,ke + ha contracted
כַּאֲשֶׁר,ka'ashér,conjunction,"like, as",Biblical,
כַּאֲשֶׁר,ka'ashér,conjunction,"when, as, at the time that (frequenly preceded by a disjunctive וַיְהִי in Biblical Hebrew)",Biblical,
כַּבַּאי,kabái,noun,firefighter,,
כַּבָּאִית,kabaít,noun,fire engine,,
כַּבָּאִית,kabaít,noun,firefighter (female),,
כַּד,kad,noun,jar / pitcher,Both,
כַּד,kad,noun,"jar, pitcher, pot",,
כַּד,kad,noun,vase,,
כַּדְכֹּד,kad̠kōd̠,noun,a legendary fluorescent stone,,
כַּדְכֹּד,kad̠kōd̠,noun,some kind of gemstone,,
כַּדֹּרֶת,kadóret,noun,bowling,,
כַּדּוּר,kadúr,noun,A ball or orb or other spherical object.,,
כַּדּוּר,kadúr,noun,A ball: a three-dimensional solid enclosed by a sphere.,,
כַּדּוּר,kadúr,noun,A ball: the subset of a metric space that consists of all points within a certain distance from a given point.,,
כַּדּוּר,kadúr,noun,"A bullet, a round.",,
כַּדּוּר,kadúr,noun,A pill: medicine to be swallowed.,,
כַּדּוּר,kadúr,noun,A sphere: a three-dimensional surface consisting of points equidistant from a center.,,
כַּדּוּר ־רֶגֶל,kadúr regél,noun,soccer ball,,
כַּדּוּר ־רֶגֶל,kadúr regél,noun,"soccer, football",,
כַּדּוּר בַּרְזֶל,kadúr barzél,noun,shot put,,
כַּדּוּר בָּשָׂר,kadúr basár,noun,meatball,,
כַּדּוּר הָאָרֶץ,kadúr ha'árets,proper noun,Earth,,
כַּדּוּר חַי,kadúr khai,noun,live ammunition,,
כַּדּוּר סְרָק,kadúr s'rák,noun,blank cartridge,,
כַּדּוּר סַל,kadursál,noun,basketball,,
כַּדּוּר סַל,kadursál,noun,basketball (a sport).,,
כַּדּוּר פּוֹרֵחַ,kadúr poréakh,noun,hot-air balloon (a balloon-shaped aircraft filled with hot air.),,
כַּדּוּר שֶׁלֶג,kadúr shéleg,noun,snowball,,
כַּדּוּרְיָד,kaduryád,noun,handball,,
כַּדּוּרְמַיִם,kadurmáyim,noun,water polo,,
כַּדּוּרְסַל,kadursál,noun,basketball,,
כַּדּוּרְסַלָּן,kadursalán,noun,basketball player (male),,
כַּדּוּרְעָף,kadur'áf,noun,volleyball,,
כַּדּוּרִי,kadurí,adjective,spherical,,
כַּדּוּרֶגֶל,kadurégel,noun,"football, soccer",,
כַּדּוּרַגְלָן,kaduraglán,noun,"A (male) soccer player, a (male) footballer: a (male) person who plays soccer (football).",,
כַּהֲנִיסְט,kahanist,noun,Kahanist,,
כַּוֶּנֶת,kavénet,noun,"sight, scope",,
כַּוֶּרֶת,kavéret,noun,beehive,,
כַּוָּנָה,kavaná,noun,"intent, intention",,
כַּוָּנָה,kavaná,noun,kavanah,,Judaism
כַּוָּנָה,kavaná,noun,meaning,,
כַּזְבָן,kazván,noun,habitual liar,,
כַּיָּס,kayás,noun,a pickpocket,,
כַּיּוֹם,kayóm,adverb,"nowadays, currently, at present",,
כַּלְבָּה,kalbá,noun,A bitch (a term of abuse for a woman).,,
כַּלְבָּה,kalbá,noun,"dog (female), bitch",,
כַּלְכָּלִי,kalkalí,adjective,Economic: of or relating to economics or the economy.,,
כַּלְכָּלָה,kalkalá,noun,"A living, making a living.",,
כַּלְכָּלָה,kalkalá,noun,"An economy: a society's system of production, distribution, and consumption.",,
כַּלְכָּלָה,kalkalá,noun,Economics: the study of resource allocation.,,
כַּלֶּבֶת,kalévet,noun,rabies,,
כַּלָּה,kalá,noun,bride,Biblical,
כַּלָּה,kalá,noun,daughter-in-law,,
כַּלָּנִית,kalanít,noun,a flower of the genus Anemone,,
כַּלָּנִית,kalanít,noun,poppy anemone (Anemone coronaria),,
כַּמָּה,káma,adverb,"How, how much, to what extent.",,
כַּמָּה,káma,determiner,"How much, how many.",,
כַּמָּה,káma,determiner,"several, a few, some; (uncountable referents) some",,
כַּמָּת,kamát,noun,a quantifier,,
כַּמּוֹן,kamón,noun,cumin,,
כַּמּוּבָן,kamuván,adverb,"of course, naturally, certainly",,
כַּמּוּת,kamút,noun,"amount, quantity",,
כַּן,kan,noun,base / pedestal,Biblical,
כַּן,kan,noun,"pedestal, stand",,
כַּנִּרְאֶה,kanir'é,adverb,"apparently, seemingly",,
כַּנִּרְאֶה,kanir'é,adverb,probably,,
כַּנֵּה,kané,proper noun,a male given name in antiquity,,Ezek 27:23
כַּנָּה,kaná,noun,"A mount, a stand, a base: a thing used as a base.",,
כַּנָּה,kaná,noun,"rootstock (a healthy and vigorous-rooted plant that is used in grafting, most commonly as a sound base to support a scion that bears desirable fruit in orchard culture)",Modern,
כַּנָּר,kanár,noun,violinist,,
כַּס,kas,noun,throne (poetic),Biblical,variant of כִּסֵּא
כַּסְפִּי,kaspí,adjective,financial,,
כַּסְפִּי,kaspí,adjective,"silvery, metallic",,
כַּסְפִּית,kaspít,noun,"mercury (a silvery-coloured, metallic chemical element (symbol Hg) with the atomic number 80; it is liquid at room temperature, and toxic)",,
כַּסְפּוֹמָט,kaspomát,noun,"cashpoint, ATM, automated teller machine",,
כַּסֶּפֶת,kaséfet,noun,"safe (for money, possessions, etc.)",,
כַּעְבָּה,Káʿba,proper noun,Kaaba,,
כַּעַס,ká'as,noun,anger,,
כַּף,kaf,noun,palm / spoon / sole,Both,
כַּף,kaf,noun,"palm, paw",Biblical,
כַּף,kaf,noun,"power, control",Biblical,
כַּף,kaf,noun,"socket, cavity, hollow",Biblical,
כַּף,kaf,noun,"spoon (an implement for eating or serving; a scooped utensil whose long handle is straight, in contrast to a ladle)",Biblical,
כַּף אַשְׁפָּה,kaf ashpa,noun,dustpan,,
כַּפְרִי,kafrí,adjective,rural,,
כַּפְתּוֹר,kaftór,noun,"bulb, knop, calyx (architectural term)",Biblical,
כַּפְתּוֹר,kaftór,noun,"button (a knob or disc that is passed through a loop or (buttonhole), serving as a fastener)",Biblical,
כַּפְתּוֹר,kaftór,noun,button (a mechanical device designed to be pressed with a finger in order to open or close an electric circuit or to activate a mechanism),Biblical,
כַּפְתּוֹר,kaftór,proper noun,"Caphtor, Crete, the homeland of the Philistines",Biblical,
כַּפִּית,kapít,noun,teaspoon (a small spoon used to stir the contents of a cup or glass),,
כַּפִּית,kapít,noun,"teaspoon (a unit of measure, equivalent to one-third of a tablespoon or roughly five milliliters)",,
כַּפַּיִם,kapáyim,noun,applause,,colloquial
כַּפָּרָה,kapará,interjection,"forget it, it's not important",,slang
כַּפָּרָה,kapará,noun,Kapparot (a ritual performed before Yom Kippur involving the transfer of one's sins to a chicken or bag of money by swinging it around and then donating it to charity),,
כַּפָּרָה,kapará,noun,"atonement, forgiveness, absolution",,
כַּפָּרָה,kapára,noun,my dear (term of endearment),,slang
כַּפָּרָה,kapará,noun,penance,,
כַּר,kár,noun,cushion,,
כַּר,kar,noun,cushion / saddle,Biblical,Gen 31:34
כַּר,kar,noun,meadow / pasture,Biblical,Isa 30:23
כַּר,kár,noun,pillow,,
כַּרְטִיס,kartís,noun,card,,
כַּרְטִיס,kartís,noun,ticket,,
כַּרְטִיס אַשְׁרַאי,kartís ashráy,noun,credit card,,
כַּרְטִיס בְּרָכָה,kartís brachá,noun,a greeting card,,
כַּרְטִיס חִיּוּב מִיָּדִי,kartís khiyúv miyadí,noun,debit card,,
כַּרְטִיסָן,kartisán,noun,"conductor, ticket seller",,
כַּרְכַּס,karkas,proper noun,"Carcas, a chamberlain of Ahasuerus",,
כַּרְכֹּם,karkóm,noun,crocus,,
כַּרְמִיאֵל,karmiel,proper noun,Karmiel (a city in northern Israel),,
כַּרְמֶל,karmél,noun,fresh ears,Biblical,
כַּרְמֶל,karmél,proper noun,Carmel (a mountain range in Israel),,
כַּרְפַּס,karpás,noun,a type of expensive fabric made of cotton,Biblical,rare
כַּרְפַּס,karpás,noun,celery,,
כַּרְשְׁנָא,karšənā,proper noun,"Carshena, a chamberlain of Ahasuerus",,
כַּשְׁרוּת,kashrút,noun,"kashrut (the Jewish dietary laws, stating which foods are fit to eat)",,
כַּשְׂדִּי,kasdí,adjective,"Chaldean, Chaldee",,
כַּשְׂדִּי,kasdí,noun,"a Chaldean, Chaldee",,
כַּת,kat,noun,"cult, sect",,
כַּת,kat,noun,group / sect / class,Both,1 Sam 19:20; modern 'sect'
כַּתָּב,katáv,noun,a newspaper correspondent,,
כַּתָּבָה,katavá,noun,"A news article, a report.",,
כָּאַב,kaav,root,was in pain / ached,Biblical,
כָּאַב,ka'áv,verb,"to hurt, ache",,
כָּאָמוּר,ka'amúr,adverb,as previously mentioned,,
כָּאוֹטִי,ka'óti,adjective,Chaotic: extremely disorganized.,,
כָּאוֹס,ká'os,noun,Chaos: total disorder and confusion.,,
כָּאוֹס,ká'os,noun,Chaos: unpredictability of a system due to very small differences in initial conditions resulting in very large differences over time.,,
כָּאוּב,ka'uv,adjective,"hurt, hurting, painful",,
כָּאן,kán,adjective,"Here, at this place.",,
כָּאן,kán,adverb,"Here, at this place.",,
כָּאן,kán,noun,"Here, this place.",,
כָּבֵד,kavéd,adjective,"heavy, having much weight",,
כָּבֵד,kavéd,noun,liver (organ of the body),Biblical,
כָּבֵד,kavéd,verb,"to be heavy, weighty, burdensome, honoured",,
כָּבַד,kaved,root,was heavy / honored,Biblical,pi'el: honored
כָּבַס,kavas,root,washed (clothes) / laundered,Both,pi'el usual
כָּבַר,kavár,verb,to sift,,archaic
כָּבַשׁ,kavash,root,subdued / conquered,Both,
כָּבַשׁ,kavásh,verb,"to conquer, subjugate",,
כָּבַשׁ,kavásh,verb,"to hold back, to overcome one's instincts",,
כָּבַשׁ,kavásh,verb,"to pickle: to preserve food in a salt, sugar or vinegar solution",,
כָּבַשׁ,kavásh,verb,"to tread down with feet, to level",,
כָּבָה,kavah,root,was extinguished / went out,Biblical,
כָּבוֹד,kavód,noun,"With third-person possessive suffixes, used to form polite second-person pronouns.",,
כָּבוֹד,kavód,noun,"dignity, self-respect",,
כָּבוֹד,kavód,noun,esteem,,
כָּבוֹד,kavód,noun,honor,,
כָּבוֹד,kavód,noun,reputation,,
כָּבוֹד,kavód,noun,respect,,
כָּבוּשׁ,kavúsh,adjective,"conquered, occupied",,
כָּזֶה,kazé,adverb,"Used other than figuratively or idiomatically: see כ־, זה.",,
כָּזֶה,kazé,adverb,"such (literally, ""like so""; emphasizes the following adjective with emotional involvement)",,
כָּזֶה,kazé,particle,like,,
כָּזַב,kazav,root,lied / deceived,Biblical,pi'el usual
כָּזָב,kazáv,noun,deceit,,
כָּזָב,kazáv,noun,lie,,
כָּזָב,kazáv,noun,mislead,,
כָּחַד,kachad,root,hid / concealed / denied,Biblical,pi'el
כָּחַל,kakhál,verb,to paint the eyes (with kohl),Biblical,
כָּחַשׁ,kachash,root,lied / denied / failed,Biblical,pi'el
כָּחָל,kakhál,noun,kohl,,
כָּחֹל,kaḥól,adjective,"blue, a darker shade than תְּכֵלֶת (tchélet)",,
כָּךְ,kakh,adverb,"Such, so, thus, in this way, in that way.",,
כָּךְ,kakh,pronoun,"that (anaphorically referring to something previously mentioned, or something which is clear from the context)",,
כָּכָה,kákha,adverb,"thus (in this way, like so)",,
כָּכָה ־כָּכָה,kákha-kákha,adverb,so-so,,
כָּכָה ־כָּכָה,kákha-kákha,adverb,somewhat,,
כָּל,kal,noun,all (construct form),Both,used before another word
כָּל הַ כָּבוֹד,kól hakavód,interjection,"good job!, way to go!, congratulations!",,
כָּל הַזְּכוּיוֹת שְׁמוּרוֹת,kol haz'khuyót shmurót,phrase,all rights reserved,,
כָּל יוֹמַיִם,kol yomáyim,phrase,every other day,,
כָּל כָּךְ,kol kákh,adverb,"so, so much, very much",,
כָּל עִקָּר,kól ikár,adverb,at all,,
כָּלַל,kalal,root,was complete / crowned,Biblical,
כָּלַל,kalál,verb,To include (something) (in a group).,,
כָּלַל,kalál,verb,To include (something).,,
כָּלַם,kalam,root,was ashamed / insulted,Biblical,
כָּלָא,kala,root,restrained / shut up,Biblical,
כָּלָא,kalá,verb,"To jail, to lock up, to hold (someone) prisoner.",,
כָּלָה,kalah,root,was completed / finished / ended,Biblical,pi'el: destroyed
כָּלָה,kalá,verb,"to be finished, to be over, to be done, to be completed",,
כָּלָה,kalá,verb,to have run out,,
כָּלוּא,kalú,adjective,"Locked up, imprisoned.",,
כָּלוּל,kalúl,adjective,Included.,,
כָּמֵהַּ,kaméah,adjective,"longing, yearning",,
כָּמַהּ,kamah,root,longed / yearned,Biblical,
כָּמַהּ,kamáh,verb,"to long, yearn",Biblical,
כָּנַס,kanas,root,gathered / assembled,Both,pi'el: assembled
כָּנַע,kana,root,was subdued / humbled,Biblical,nif'al usual
כָּנַף,kanaf,root,was winged,Biblical,
כָּנָף,kanáf,noun,"fender, mudguard",,
כָּנָף,kanáf,noun,wing,Biblical,
כָּסֶף,kesef,noun,silver / money,Both,
כָּסַף,kasaf,root,longed / yearned (for silver/money),Biblical,
כָּסָה,kasah,root,covered / concealed,Both,pi'el: כִּסָּה
כָּסָה,kasá,verb,to be covered (participle),,
כָּסָה,kasá,verb,to conceal,,
כָּעֵת,ka'ét,adverb,"now, for the time being, at this point in time, as of now",,
כָּעַס,kaas,root,was angry / vexed,Both,
כָּעַס,ka'ás,verb,To be angry.,,
כָּעַס,ka'ás,verb,"To get angry, to become angry, to anger.",,
כָּפַל,kafal,root,doubled / folded,Both,
כָּפַל,kafál,verb,"To double, fold double, double over.",,
כָּפַף,kafaf,root,bent / bowed,Biblical,
כָּפַף,kafáf,verb,to bend,,
כָּפַף,kafáf,verb,to subjugate,,
כָּפַר,kafar,root,atoned / covered,Biblical,pi'el: atoned
כָּפַת,kafat,root,bound / tied,Both,
כָּפָה,kafá,verb,"(He/it) coerced, forced",,
כָּפָה,kafá,verb,(He/it) overturned,,
כָּפוּל,kafúl,adjective,"Double, dual: having two parts instead of one.",,
כָּפוּל,kafúl,adjective,"Double, folded double.",Biblical,
כָּפוּל,kafúl,adjective,"Double, twice: twice as big.",,
כָּפוּל,kafúl,adjective,"Times, multiplied by: used to indicate the operation of multiplication.",,
כָּר,kar,noun,lamb / ram,Biblical,in construct forms
כָּרִיךְ,karíkh,noun,sandwich,,
כָּרִישׁ,karísh,noun,deserving appreciation,,slang
כָּרִישׁ,karísh,noun,shark,,
כָּרִית,karít,noun,pillow (a soft cushion used to support the head in bed),,
כָּרֵס,karés,noun,"abdomen, belly",,
כָּרֵת,karét,noun,"kareth, a severe divine punishment",,
כָּרֶגַע,karéga,adverb,at the moment,,
כָּרֶגַע,karéga,adverb,"right now, immediately",,
כָּרַךְ,karákh,verb,to bind (a book),,
כָּרַךְ,karákh,verb,"to tie up, to wrap, to bind",,
כָּרַע,kara,root,bowed / knelt,Biblical,
כָּרַע,karáʿ,verb,"to bow down, to squat",,
כָּרַע,karáʿ,verb,to collapse,,
כָּרַע,karáʿ,verb,to kneel,,
כָּרַת,karat,root,cut / made covenant,Biblical,
כָּרַת,karát,verb,"to cut down, to cut off",,
כָּרָגִיל,ka-ragil,adverb,as always,,
כָּרָגִיל,ka-ragil,adverb,as usual,,
כָּרָה,karah,root,dug / made a feast,Biblical,
כָּרָה,kará,verb,to mine,,
כָּרוֹז,karóz,noun,auctioneer,,
כָּשֵׁר,kashér,adjective,"fit, proper, legitimate",,
כָּשֵׁר,kashér,adjective,kosher; permitted for consumption,,
כָּשַׁל,kashal,root,stumbled / fell,Both,
כָּשַׁל,kashál,verb,to fail,,
כָּשַׁף,kashaf,root,practiced sorcery,Biblical,pi'el
כָּתִית,katít,noun,oil made from pounded olives (always preceded by שֶׁמֶן),Biblical,
כָּתֵף,katéf,noun,shoulder,,
כָּתֵף,katéf,noun,"side, slope (of mountain)",,
כָּתַב,katav,root,wrote,Both,
כָּתַב,katáv,verb,to write,,
כָּתַב נֹחַ בְּשֶׁבַע שְׁגִיאוֹת,katáv nóakh b'shéva shgiót,verb,to make many spelling mistakes,,
כָּתַשׁ,katash,root,crushed / pounded,Biblical,
כָּתַשׁ,katásh,verb,"to pound, to pulverize",,
כָּתֹם,katóm,adjective,orange,,
כָּתֹם,katóm,noun,"orange (the colour of a ripe fruit of an orange tree, midway between red and yellow)",,
כָּתוּב,katúv,adjective,written,,
כָּתוּב,katúv,noun,"Biblical verse, passage",,
כָּ״ף,"ka""f",noun,"kaf, kaph (the 11th letter of the various Semitic scripts, including Hebrew)",,
כֹּבֶד,kóved,noun,gravity,,
כֹּה,ko,adverb,thus / so / here,Both,
כֹּה,ko,adverb,"thus, in this way",Biblical,archaic
כֹּה וָ כֹה,kó vakhó,adverb,"here and there, hither and thither, this way and that, around",Biblical,
כֹּהֵן גָּדוֹל,kohén gadól,noun,high priest: the chief priest,,Judaism
כֹּהֶל,kóhel,noun,alcohol,,
כֹּהֶנֶת,kohénet,noun,wife or daughter of a cohen,,
כֹּחַ,kóakh,noun,"A force, such as a military force or a police force.",,
כֹּחַ,kóakh,noun,A monitor lizard,Biblical,
כֹּחַ,kóakh,noun,"Capital, property, wealth.",,
כֹּחַ,kóakh,noun,"Force, a force.",,
כֹּחַ,kóakh,noun,"Power, ability, capacity.",,
כֹּחַ,kóakh,noun,"Strength, power: the quality of being strong or powerful.",,
כֹּחַ,kóakh,noun,"Strength: the physical ability to do work, to lift something, to walk, and so on.",,
כֹּחַ,kóakh,noun,"Validity, value, force.",,
כֹּחַ,kóakh,noun,"power, authority (a type of angel)",,
כֹּל,kól,noun,"All, whole, entirety, everything; found almost exclusively in singular definite and singular construct forms; used to translate English all, each, every, everything, and so on.",Biblical,
כֹּל,kol,noun,all / every / everything,Both,
כֹּמֶר,kómer,noun,priest of a pagan religion,,
כֹּמֶר,kómer,noun,"priest, minister, pastor, parson",,
כֹּרַח,kórakh,noun,"duress, constraint",,
כֹּשֶׁר,kósher,noun,"fitness, ability, capacity",,
כֹּתֶל,kótel,noun,wall: a structure serving as the exterior or a divider of a larger structure,,
כֻּבָּה,kuba,verb,"to be extinguished, to be put out (a fire, cigarette, etc.)",,
כֻּבָּה,kuba,verb,"to be turned off (a light, machine, etc.)",,
כֻּלָּם,kulam,pronoun,all of them (m.),Both,4 letters — EXCLUDED
כֻּלָּם,kulám,pronoun,everyone,,colloquial
כֻּמְתָּה,kumtá,noun,beret,,
כֻּנַּס,kunás,verb,"to be assembled, to be gathered together",,
כֻּסְבָּרָה,kúsbara,noun,"coriander, cilantro",,
כֻּסְמִין,kusmín,noun,"spelt, Triticum spelta",,
כֻּסֶּמֶת,kusémet,noun,"buckwheat, Fagopyrum esculentum",Biblical,
כֻּסֶּמֶת,kusémet,noun,"spelt, Triticum spelta",Biblical,
כֻּפְתָּה,kuftá,noun,kofta,,
כֻּרְכּוּם,kúrkum,noun,"turmeric (the pulverized rhizome of the turmeric plant, used for flavoring and to add a bright yellow color to food)",,
כֻּרְסָה,kursá,noun,"armchair, easy chair",,
כֻּתְנָה,kutná,noun,cotton,,
כֻּתֹּנֶת,kutónet,noun,"coat, tunic, robe",,
כֻּתֹּנֶת,kutónet,noun,"dress, garment",,
כּוֹבְעָן,kov'án,noun,"hatter, milliner",,
כּוֹבַע,kóva,noun,hat,,
כּוֹבַע ־גֶּרֶב,kóva gérev,noun,"beanie, toque",,
כּוֹבַע ־גֶּרֶב,kóva gérev,noun,ski mask,,
כּוֹבַע הַנָּזִיר,kova' hanazír,noun,nasturtium,,
